,machine,human
81,DISC1:tcp.flags.syn,TCP .... .... ..0. = Syn of the second TCP Disconnect
82,DISC1:tcp.flags.fin,TCP .... .... ...0 = Fin of the second TCP Disconnect
83,DISC1:tcp.window_size_value,TCP Window size value of the second TCP Disconnect
84,DISC1:tcp.window_size,TCP Calculated window size of the second TCP Disconnect
85,DISC1:tcp.window_size_scalefactor,TCP Window size scaling factor of the second TCP Disconnect
86,DISC1:tcp.checksum.status,TCP Checksum Status of the second TCP Disconnect
87,DISC1:tcp.urgent_pointer,TCP Urgent pointer of the second TCP Disconnect
88,DISC1:tcp.options.nop,TCP tcp.options.nop of the second TCP Disconnect
89,DISC1:tcp.option_kind,TCP Kind of the second TCP Disconnect
90,DISC1:tcp.option_len,TCP Length of the second TCP Disconnect
91,DISC1:tcp.options.timestamp.tsval,TCP Timestamp value of the second TCP Disconnect
92,DISC1:tcp.time_delta,Time since previous frame in this TCP stream of the second TCP Disconnect
93,DISC1:order,Message order of the second TCP Disconnect within the server responses
